player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
Aeon,Ramzi Geysen,Belgium,BLVKHVND,Retired,{"twitch_link":"https://www.twitch.tv/AeonWasTaken"\,twitter_link:"https://twitter.com/AeonWasTaken"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCIOxgiBh7Vjp6oRzVQklN9Q"\,esl_profile_link:"Http://play.eslgaming.com/player/7091168"}
Aesir,,Japan,BLVKHVND,Retired,{"twitch_link":"None"\,twitter_link:"https://twitter.com/Aesir_JP"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCaXHNtQ_Fcl5oRYz6GFCsww"\,esl_profile_link:"None"}
Aggrasive,Swapnil Chowdhury,Bangladesh,BLVKHVND,Active,{"twitch_link":"https://www.twitch.tv/aggrasive"\,twitter_link:"https://twitter.com/Aggrasive2"\,facebook_link:"http://facebook.com/Swayana.Simhury"\,youtube_link:"http://www.youtube.com/channel/UCDyFHlsQtkPZBXPTDASm7Ug"\,esl_profile_link:"None"}
ahn2e,Kim Gun-ho,South Korea,FAV gaming,Active,{"twitch_link":"https://www.twitch.tv/ahn2e"\,twitter_link:"https://twitter.com/ahn2e_"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UC4RkCw_P0lPsYDvmjUq0hXw"\,esl_profile_link:"None"}
AhnuG,,Japan,LEDIAN MAGICAL,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/AhnuG0508"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCJvr_E8kl4E_a_qEv37s2TQ"\,esl_profile_link:"None"}
aidanthedestroye,Aidan Macmillan,Canada,Oxygen Esports,Active,{"twitch_link":"https://www.twitch.tv/aidanthedestroye"\,twitter_link:"https://twitter.com/aidanthedestroy"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCLCUw10sXCc4KUMH98311_w?view_as=subscriber"\,esl_profile_link:"None"}
Aimbot,,South Korea,FAV gaming,Active,{"twitch_link":"https://www.twitch.tv/favaimbot"\,twitter_link:"https://twitter.com/aimbot6974"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCme5RHD4uMd8x3YOkd3FHQw"\,esl_profile_link:"None"}
aimbotmachin3,Khrys Torres,Argentina,TENGAA,Active,{"twitch_link":"https://www.twitch.tv/khrystorres"\,twitter_link:"https://twitter.com/khrystorres"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCNz6VayAmveJGrs6qtEpCEA/"\,esl_profile_link:"None"}
AirSaaan,Ben Ruffels,Australia,TENGAA,Retired,{"twitch_link":"https://www.twitch.tv/airsaaan"\,twitter_link:"https://twitter.com/Airsaaaan"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCfR3BRn0QM69gcH6MOijaPA"\,esl_profile_link:"None"}
aizer,Eduardo Ribeiro,Brazil,TENGAA,Retired,{"twitch_link":"https://www.twitch.tv/aizerwi"\,twitter_link:"https://twitter.com/aizerfps"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Ak1to,Shota Iizuka,Japan,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/dtn_ak1to"\,twitter_link:"https://twitter.com/Ak1to_JP"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCOwZcv3nIVGdM1rAr3M1NvQ?view_as=subscriber"\,esl_profile_link:"None"}
Aka,Kim Su-hwan,South Korea,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/akagosu"\,twitter_link:"https://twitter.com/Akagosu22"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCa8YDQLsMVBbvRgq-cEjEzg"\,esl_profile_link:"None"}
